BUSAGE,DAYSDELQ,DEFAULT
87,2,N
89,2,N
90,2,N
90,2,N
101,2,N
110,2,N
115,2,N
115,2,N
115,2,N
117,2,N
127,2,N
149,2,N
150,2,N
157,2,N
166,2,N
170,2,N
183,2,N
183,2,N
190,2,N
201,2,N
202,2,N
207,2,N
212,2,N
220,2,N
310,2,N
322,2,N
399,2,N
415,2,N
326,3,N
12,4,N
12,4,N
38,4,N
200,4,N
302,4,N
30,5,N
44,5,N
131,5,N
23,7,N
152,7,N
89,10,N
24,12,N
41,12,N
151,14,N
25,17,N
48,18,N
12,19,N
267,20,N
18,22,N
43,25,N
15,28,N
60,28,N
86,28,N
12,29,N
77,29,N
38,30,N
46,30,N
64,30,N
77,30,N
132,30,N
150,30,N
12,31,N
24,31,N
12,32,N
27,32,N
36,34,N
26,46,N
26,46,N
116,46,N
88,53,N
27,60,N
84,60,N
162,60,N
277,60,N
51,66,N
12,11,N
100,26,Y
78,27,Y
61,48,Y
343,28,Y
24,49,Y
43,53,Y
417,13,Y
275,54,Y
42,57,Y
26,58,Y
42,59,Y
47,59,Y
170,59,Y
12,60,Y
49,62,Y
36,64,Y
48,65,Y
17,66,Y
85,69,Y
350,39,Y
207,70,Y
229,70,Y
65,72,Y
37,76,Y
73,80,Y
